"Story","Title","Result","Date","Stability","Duration (s)"
"Delete existing user","Delete user with valid parameter id","SUCCESS","2023-02-13T08:38:05.525+07:00[Asia/Bangkok]","0.0","2.91"
"List Resource","Get list resource","SUCCESS","2023-02-13T08:38:10.047+07:00[Asia/Bangkok]","0.0","0.5"
"Get list of existing user","Get list user with valid parameter page","SUCCESS","2023-02-13T08:38:10.557+07:00[Asia/Bangkok]","0.0","1.13"
"Login feature","Post login user with valid json file","SUCCESS","2023-02-13T08:38:11.995+07:00[Asia/Bangkok]","0.0","0.52"
"Login feature","Post login user with invalid json file","SUCCESS","2023-02-13T08:38:12.517+07:00[Asia/Bangkok]","0.0","0.5"
"Register account","Post new register user with valid json file","SUCCESS","2023-02-13T08:38:13.027+07:00[Asia/Bangkok]","0.0","0.49"
"Register account","Post new register user with invalid json file","SUCCESS","2023-02-13T08:38:13.524+07:00[Asia/Bangkok]","0.0","0.49"
"Get single resources","Get single resources with valid id","SUCCESS","2023-02-13T08:38:14.017+07:00[Asia/Bangkok]","0.0","0.43"
"Single User","Get single user with valid id","SUCCESS","2023-02-13T08:38:14.858+07:00[Asia/Bangkok]","0.0","0.27"
"Single User","Get single user with invalid id","SUCCESS","2023-02-13T08:38:15.135+07:00[Asia/Bangkok]","0.0","0.97"
"Put user","Put existing user with valid input","SUCCESS","2023-02-13T08:38:16.109+07:00[Asia/Bangkok]","0.0","1.49"
